Date,Open,High,Low,Close*,Adj Close**,Volume
"Feb 12, 2021",31420.8,31475.31,31347.8,31458.4,31458.4,263090000
"Feb 11, 2021",31466.49,31543.82,31244.36,31430.7,31430.7,280320000
"Feb 10, 2021",31428.02,31511.44,31221.32,31437.8,31437.8,326450000
"Feb 09, 2021",31359.88,31439.47,31245.86,31375.83,31375.83,308210000
"Feb 08, 2021",31191.2,31386.1,31191.2,31385.76,31385.76,322250000
"Feb 05, 2021",31093.81,31252.18,31083.22,31148.24,31148.24,293550000
"Feb 04, 2021",30737.78,31065.96,30737.78,31055.86,31055.86,338330000
"Feb 03, 2021",30689.65,30793.41,30521.31,30723.6,30723.6,305590000
"Feb 02, 2021",30276.88,30840.54,30276.88,30687.48,30687.48,333160000
"Feb 01, 2021",30054.73,30335.91,30014.97,30211.91,30211.91,347060000
"Jan 29, 2021",30553.91,30553.91,29856.3,29982.62,29982.62,536320000
"Jan 28, 2021",30377.19,30951.41,30377.19,30603.36,30603.36,465140000
"Jan 27, 2021",30893.78,30893.78,30206.91,30303.17,30303.17,566470000
"Jan 26, 2021",30968.55,31121.42,30921.71,30937.04,30937.04,373150000
"Jan 25, 2021",30989.85,30989.85,30564.06,30960.0,30960.0,472890000
"Jan 22, 2021",31141.56,31141.56,30908.47,30996.98,30996.98,436040000
"Jan 21, 2021",31198.01,31272.22,31120.92,31176.01,31176.01,418780000
"Jan 20, 2021",31017.54,31235.98,30997.79,31188.38,31188.38,384980000
"Jan 19, 2021",30887.42,31086.62,30865.03,30930.52,30930.52,386400000
"Jan 15, 2021",30926.77,30941.98,30612.67,30814.26,30814.26,433000000
"Jan 14, 2021",31085.67,31223.78,30982.24,30991.52,30991.52,427810000
"Jan 13, 2021",31084.88,31153.37,30992.05,31060.47,31060.47,413250000
"Jan 12, 2021",31015.01,31114.56,30888.76,31068.69,31068.69,362620000
"Jan 11, 2021",31015.37,31096.98,30832.06,31008.69,31008.69,356540000
"Jan 08, 2021",31069.58,31140.67,30793.27,31097.97,31097.97,381150000
"Jan 07, 2021",30901.18,31193.4,30897.86,31041.13,31041.13,427810000
"Jan 06, 2021",30362.78,31022.65,30313.07,30829.4,30829.4,500430000
"Jan 05, 2021",30204.25,30504.89,30141.78,30391.6,30391.6,350910000
"Jan 04, 2021",30627.47,30674.28,29881.82,30223.89,30223.89,475080000
"Dec 31, 2020",30417.64,30637.47,30344.5,30606.48,30606.48,284470000
"Dec 30, 2020",30415.09,30525.35,30393.04,30409.56,30409.56,291890000
"Dec 29, 2020",30492.07,30588.79,30274.24,30335.67,30335.67,357610000
"Dec 28, 2020",30283.23,30525.56,30283.23,30403.97,30403.97,302490000
"Dec 24, 2020",30155.92,30209.67,30099.3,30199.87,30199.87,145570000
"Dec 23, 2020",30046.73,30292.53,30046.73,30129.83,30129.83,274050000
"Dec 22, 2020",30200.2,30200.2,29992.89,30015.51,30015.51,388810000
"Dec 21, 2020",30159.0,30304.14,29755.53,30216.45,30216.45,437480000
"Dec 18, 2020",30314.26,30343.59,30029.44,30179.05,30179.05,782070000
"Dec 17, 2020",30216.0,30323.78,30216.0,30303.37,30303.37,345530000
"Dec 16, 2020",30191.38,30236.03,30080.11,30154.54,30154.54,344590000
"Dec 15, 2020",29919.09,30243.26,29894.95,30199.31,30199.31,417770000
"Dec 14, 2020",30123.91,30325.79,29849.15,29861.55,29861.55,371980000
"Dec 11, 2020",29988.21,30071.13,29820.84,30046.37,30046.37,393870000
"Dec 10, 2020",30032.55,30063.87,29876.82,29999.26,29999.26,325550000
"Dec 09, 2020",30229.81,30319.7,29951.85,30068.81,30068.81,380520000
"Dec 08, 2020",29997.95,30246.22,29972.07,30173.88,30173.88,311190000
"Dec 07, 2020",30233.03,30233.03,29967.22,30069.79,30069.79,365810000
"Dec 04, 2020",29989.56,30218.26,29989.56,30218.26,30218.26,356590000
"Dec 03, 2020",29920.83,30110.88,29877.27,29969.52,29969.52,405680000
"Dec 02, 2020",29695.09,29902.51,29599.29,29883.79,29883.79,385280000
"Dec 01, 2020",29797.5,30083.31,29797.5,29823.92,29823.92,429510000
"Nov 30, 2020",29854.51,29854.51,29463.64,29638.64,29638.64,551350000
"Nov 27, 2020",29911.33,30015.13,29819.98,29910.37,29910.37,177040000
"Nov 25, 2020",30058.87,30058.87,29806.25,29872.47,29872.47,323030000
"Nov 24, 2020",29746.11,30116.51,29746.11,30046.24,30046.24,432760000
"Nov 23, 2020",29332.82,29667.75,29332.82,29591.27,29591.27,387200000
"Nov 20, 2020",29437.57,29469.89,29231.2,29263.48,29263.48,305350000
"Nov 19, 2020",29370.92,29524.9,29228.38,29483.23,29483.23,331330000
"Nov 18, 2020",29875.4,29930.85,29432.84,29438.42,29438.42,382850000
"Nov 17, 2020",29800.15,29872.42,29520.29,29783.35,29783.35,372380000
"Nov 16, 2020",29672.36,29964.29,29672.36,29950.44,29950.44,418290000
"Nov 13, 2020",29203.9,29559.25,29203.9,29479.81,29479.81,348810000
"Nov 12, 2020",29231.91,29311.83,28902.13,29080.17,29080.17,369320000
"Nov 11, 2020",29524.35,29593.11,29281.22,29397.63,29397.63,376700000
"Nov 10, 2020",29254.17,29478.86,29126.99,29420.92,29420.92,526980000
"Nov 09, 2020",29467.9,29933.83,29130.66,29157.97,29157.97,673310000
"Nov 06, 2020",28399.13,28431.96,28189.5,28323.4,28323.4,326710000
"Nov 05, 2020",28083.37,28495.05,28083.37,28390.18,28390.18,390140000
"Nov 04, 2020",27512.83,28301.5,27512.83,27847.66,27847.66,447860000
"Nov 03, 2020",27138.69,27640.21,27138.69,27480.03,27480.03,350980000
"Nov 02, 2020",26691.28,27043.48,26691.28,26925.05,26925.05,379990000
"Oct 30, 2020",26572.27,26639.18,26143.77,26501.6,26501.6,504820000
"Oct 29, 2020",26480.98,26891.89,26290.78,26659.11,26659.11,419770000
"Oct 28, 2020",27102.14,27102.14,26497.39,26519.95,26519.95,496150000
"Oct 27, 2020",27651.18,27707.69,27457.96,27463.19,27463.19,366400000
"Oct 26, 2020",28185.82,28185.82,27370.16,27685.38,27685.38,404150000
"Oct 23, 2020",28409.65,28436.52,28149.82,28335.57,28335.57,347300000
"Oct 22, 2020",28197.42,28421.31,28040.18,28363.66,28363.66,330320000
"Oct 21, 2020",28270.66,28450.64,28196.39,28210.82,28210.82,299420000
"Oct 20, 2020",28245.85,28575.03,28243.04,28308.79,28308.79,350220000
"Oct 19, 2020",28633.55,28711.93,28139.4,28195.42,28195.42,358700000
"Oct 16, 2020",28570.72,28842.9,28570.72,28606.31,28606.31,356140000
"Oct 15, 2020",28323.4,28535.85,28181.54,28494.2,28494.2,328940000
"Oct 14, 2020",28731.3,28792.56,28461.73,28514.0,28514.0,370800000
"Oct 13, 2020",28764.95,28808.84,28604.35,28679.81,28679.81,526110000
"Oct 12, 2020",28671.12,28957.9,28659.67,28837.52,28837.52,493680000
"Oct 09, 2020",28533.61,28676.29,28440.63,28586.9,28586.9,324050000
"Oct 08, 2020",28348.86,28459.13,28265.56,28425.51,28425.51,314750000
"Oct 07, 2020",27971.36,28369.66,27971.36,28303.46,28303.46,328750000
"Oct 06, 2020",28214.24,28354.48,27728.03,27772.76,27772.76,435030000
"Oct 05, 2020",27825.42,28162.64,27825.42,28148.64,28148.64,318210000
"Oct 02, 2020",27536.39,27861.43,27382.94,27682.81,27682.81,392770000
"Oct 01, 2020",27940.63,28041.46,27669.26,27816.9,27816.9,373450000
"Sep 30, 2020",27514.64,28026.33,27511.06,27781.7,27781.7,452550000
"Sep 29, 2020",27560.24,27605.6,27338.09,27452.66,27452.66,303820000
